Comment,Designator,Footprint,LCSC,Quantity
OSTCXBTHC1E,D1,OSTCXBTHC1E,,1
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,,1
R,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
