Comment,Designator,Footprint,LCSC,Quantity
Conn_01x08_Pin,J1,PinSocket_1x08_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J2,PinSocket_2x05_P2.54mm_Vertical,,1
