Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H1,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,57.71572,-52.0,0.0,top
H2,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,43.57358,-66.14214,0.0,top
H3,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,57.71572,-80.28428,0.0,top
H4,MountingHole_Pad,MountingHole_3.2mm_M3_large_PAD_for_spacer,71.85786,-66.14214,0.0,top
