BLDC10:1
BLDC11:1
BLDC12:1
BLDC4:1
BLDC5:1
BLDC6:1
BLDC7:1
BLDC8:1
BLDC9:1
G***:2
G***1:1
G***2:1
G***3:1
H1:5
H10:1
H11:1
H12:1
H13:1
H14:1
H15:1
H16:1
H2:5
H3:5
H4:5
H5:1
H6:1
H7:1
H8:1
H9:1
J1:6
J2:6
R3:1
R5:1
R6:1
R7:1
R8:1
R9:1
RGBLED3:1
RGBLED4:1
RGBLED5:1
RGBLED6:1
RGBLED7:1
RGBLED8:1
SERVO3:1
SERVO4:1
SERVO5:1
SERVO6:1
SERVO7:1
SERVO8:1
SERVO_OK_OUTER2:1
SERVO_OK_OUTER3:1
SERVO_OK_OUTER4:1
